sh_L0519	2018-09-16	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/16日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0520	2018-09-16	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/16日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0521	2018-09-17	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/17日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0522	2018-09-17	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/17日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0523	2018-09-17	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/17日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0525	2018-09-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/22日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0526	2018-09-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/22日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0527	2018-09-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/22日替わり主演アイドル：萩原雪歩)	神奈川・DMM VR THEATER	
sh_L0528	2018-09-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/23日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0529	2018-09-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/23日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0530	2018-09-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/23日替わり主演アイドル：秋月律子)	神奈川・DMM VR THEATER	
sh_L0531	2018-09-24	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/24日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0532	2018-09-24	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/24日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0533	2018-09-24	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/24日替わり主演アイドル：菊地真)	神奈川・DMM VR THEATER	
sh_L0534	2018-09-29	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/29日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0535	2018-09-29	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/29日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0536	2018-09-29	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(9/29日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0537	2018-09-30	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(9/30日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0538	2018-09-30	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(9/30日替わり主演アイドル：天海春香)	神奈川・DMM VR THEATER	
sh_L0542	2018-10-06	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(10/6日替わり主演アイドル：三浦あずさ)	神奈川・DMM VR THEATER	
sh_L0543	2018-10-06	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(10/6日替わり主演アイドル：三浦あずさ)	神奈川・DMM VR THEATER	
sh_L0544	2018-10-06	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(10/6日替わり主演アイドル：三浦あずさ)	神奈川・DMM VR THEATER	
sh_L0547	2018-10-07	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(10/7日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0548	2018-10-07	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(10/7日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0549	2018-10-07	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(10/7日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0550	2018-10-08	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第一部(10/8日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0551	2018-10-08	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第二部(10/8日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0552	2018-10-08	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ 2nd SEASON	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆2nd SEASON 第三部(10/8日替わり主演アイドル：高槻やよい)	神奈川・DMM VR THEATER	
sh_L0642	2020-02-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第一部(2/22日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0643	2020-02-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第二部(2/22日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0644	2020-02-22	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第三部(2/22日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0645	2020-02-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第一部(2/23日替わり主演アイドル：水瀬伊織)	神奈川・DMM VR THEATER	
sh_L0646	2020-02-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第二部(2/23日替わり主演アイドル：水瀬伊織)	神奈川・DMM VR THEATER	
sh_L0647	2020-02-23	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第三部(2/23日替わり主演アイドル：水瀬伊織)	神奈川・DMM VR THEATER	
sh_L0648	2020-02-24	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第一部(2/24日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0649	2020-02-24	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第二部(2/24日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0650	2020-02-24	THE IDOLM@STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE	THE IDOLM＠STER MR ST@GE!! MUSIC♪GROOVE☆ENCORE 第三部(2/24日替わり主演アイドル：双海亜美・真美)	神奈川・DMM VR THEATER	
sh_L0654	2020-07-11	「THE IDOLM@STER 765プロダクション所属星井美希特別生配信」in SHOWROOM	「THE IDOLM@STER 765プロダクション所属星井美希特別生配信」in SHOWROOM		SHOWROOM（配信番組）
sh_L0657	2020-08-02	「THE IDOLM@STER」765PRO ALLSTARS 15周年記念特番 ～M@STER WEEKEND☆〜-	DAY2-みんな一緒に生配信！！		生配信番組
sh_L0775	2022-07-09	THE IDOLM＠STER 765PRO ALLSTARS LIVE SUNRICH COLORFUL	DAY1	千葉・幕張メッセ イベントホール	
sh_L0776	2022-07-10	THE IDOLM＠STER 765PRO ALLSTARS LIVE SUNRICH COLORFUL	DAY2	千葉・幕張メッセ イベントホール	
sh_L0777	2022-07-26	アイドルマスター 17周年生配信 〜17th Anniversary P@rty!!!!!〜	アイドルマスター 17周年生配信 〜17th Anniversary P@rty!!!!!〜	収録ムービーを放送(配信YouTube Live(アイドルマスターチャンネル)、ニコニコ生放送、Twitter Media Studio／会場：東京・MIRAIKEN studio)	収録ムービーを放送(配信YouTube Live(アイドルマスターチャンネル)、ニコニコ生放送、Twitter Media Studio／会場：東京・MIRAIKEN studio)
sh_L0793	2022-11-12	THE IDOLM@STER ORCHESTRA CONCERT 〜SYMPHONY OF FIVE STARS!!!!! 〜	DAY1	千葉・幕張イベントホール	
sh_L0794	2022-11-13	THE IDOLM@STER ORCHESTRA CONCERT 〜SYMPHONY OF FIVE STARS!!!!! 〜	DAY2	千葉・幕張イベントホール	
